doc_id,title,department,year,region,text
D001,"Document Title D001 (sales)",sales,2026,latin_america,"This is the body text of document D001 in department sales for region latin_america and year 2026."
D002,"Document Title D002 (finance)",finance,2024,asia_pacific,"This is the body text of document D002 in department finance for region asia_pacific and year 2024."
D003,"Document Title D003 (sales)",sales,2022,asia_pacific,"This is the body text of document D003 in department sales for region asia_pacific and year 2022."
D004,"Document Title D004 (engineering)",engineering,2026,europe,"This is the body text of document D004 in department engineering for region europe and year 2026."
D005,"Document Title D005 (finance)",finance,2020,europe,"This is the body text of document D005 in department finance for region europe and year 2020."
D006,"Document Title D006 (legal)",legal,2026,north_america,"This is the body text of document D006 in department legal for region north_america and year 2026."
D007,"Document Title D007 (legal)",legal,2026,asia_pacific,"This is the body text of document D007 in department legal for region asia_pacific and year 2026."
D008,"Document Title D008 (engineering)",engineering,2022,europe,"This is the body text of document D008 in department engineering for region europe and year 2022."
D009,"Document Title D009 (hr)",hr,2021,latin_america,"This is the body text of document D009 in department hr for region latin_america and year 2021."
D010,"Document Title D010 (finance)",finance,2020,north_america,"This is the body text of document D010 in department finance for region north_america and year 2020."
D011,"Document Title D011 (finance)",finance,2026,asia_pacific,"This is the body text of document D011 in department finance for region asia_pacific and year 2026."
D012,"Document Title D012 (marketing)",marketing,2026,north_america,"This is the body text of document D012 in department marketing for region north_america and year 2026."
D013,"Document Title D013 (finance)",finance,2026,north_america,"This is the body text of document D013 in department finance for region north_america and year 2026."
D014,"Document Title D014 (legal)",legal,2023,europe,"This is the body text of document D014 in department legal for region europe and year 2023."
D015,"Document Title D015 (finance)",finance,2022,asia_pacific,"This is the body text of document D015 in department finance for region asia_pacific and year 2022."
D016,"Document Title D016 (finance)",finance,2020,asia_pacific,"This is the body text of document D016 in department finance for region asia_pacific and year 2020."
D017,"Document Title D017 (sales)",sales,2021,north_america,"This is the body text of document D017 in department sales for region north_america and year 2021."
D018,"Document Title D018 (hr)",hr,2025,latin_america,"This is the body text of document D018 in department hr for region latin_america and year 2025."
D019,"Document Title D019 (engineering)",engineering,2025,latin_america,"This is the body text of document D019 in department engineering for region latin_america and year 2025."
D020,"Document Title D020 (sales)",sales,2021,europe,"This is the body text of document D020 in department sales for region europe and year 2021."
D021,"Document Title D021 (sales)",sales,2023,asia_pacific,"This is the body text of document D021 in department sales for region asia_pacific and year 2023."
D022,"Document Title D022 (hr)",hr,2025,north_america,"This is the body text of document D022 in department hr for region north_america and year 2025."
D023,"Document Title D023 (marketing)",marketing,2021,europe,"This is the body text of document D023 in department marketing for region europe and year 2021."
D024,"Document Title D024 (finance)",finance,2021,latin_america,"This is the body text of document D024 in department finance for region latin_america and year 2021."
