studentId,class
1,6F
2,2C
3,4J
4,1A
5,3Q
6,6G
7,1I
8,12B
9,4P
10,12S
11,1M
12,8N
13,4A
14,9D
15,4M
16,7V
17,2D
18,8O
19,6W
20,9J
21,1O
22,1F
23,9O
24,4V
25,8T
26,6B
27,3N
28,12D
29,6C
30,10R
31,5E
32,8W
33,8X
34,6G
35,2G
36,7B
37,11C
38,1M
39,6A
40,8P
41,6L
42,12J
43,1E
44,6Y
45,12S
46,5O
47,6T
48,12H
49,1A
50,11D
51,8R
52,5J
53,1Z
54,2H
55,9U
56,10T
57,7B
58,11Q
59,1M
60,10X
61,4T
62,1D
63,8T
64,10V
65,8B
66,2L
67,8D
68,5Z
69,4I
70,9Y
71,7P
72,8Y
73,4V
74,5F
75,11R
76,2D
77,6U
78,12C
79,6A
80,12C
81,7H
82,4Y
83,7L
84,10L
85,2P
86,8R
87,6R
88,11S
89,10I
90,12U
91,2R
92,8Z
93,6J
94,1Y
95,10V
96,4D
97,1L
98,9I
99,1Q
100,3K
101,5R
102,2C
103,9V
104,7F
105,4E
106,7X
107,6K
108,5E
109,2Y
110,5F
111,1Y
112,11W
113,11W
114,6F
115,12D
116,4G
117,4W
118,6B
119,6Z
120,2O
121,11H
122,10N
123,1B
124,11T
125,7P
126,4A
127,5T
128,3T
129,1F
130,11M
131,5B
132,4O
133,6J
134,10H
135,3V
136,2G
137,3Z
138,3S
139,2X
140,9W
141,12Z
142,6S
143,1S
144,8N
145,9F
146,2M
147,11N
148,7U
149,3T
150,1C
151,1X
152,4A
153,7T
154,12U
155,10N
156,11K
157,11T
158,7P
159,7R
160,1D
161,3K
162,7J
163,5H
164,7S
165,4Z
166,5O
167,9L
168,7J
169,4T
170,1S
171,10A
172,9M
173,12M
174,10Y
175,11X
176,6K
177,9S
178,10C
179,10V
180,7E
181,4X
182,12Z
183,7E
184,7T
185,1P
186,4M
187,11Y
188,10N
189,12M
190,4L
191,5S
192,10P
193,10K
194,11V
195,3R
196,9V
197,2N
198,11W
199,7F
200,11U
201,10U
202,4C
203,12J
204,5A
205,1P
206,9Y
207,9F
208,11T
209,12Q
210,10U
211,8C
212,12D
213,4G
214,7N
215,4B
216,6G
217,5P
218,1Z
219,12X
220,12R
221,9D
222,8Y
223,12R
224,9V
225,5J
226,7U
227,2U
228,1J
229,4O
230,1R
231,7P
232,10H
233,2Y
234,5D
235,10H
236,4V
237,1R
238,7I
239,12H
240,4C
241,4I
242,5I
243,9V
244,6U
245,6S
246,2Z
247,3O
248,4I
249,1O
250,6W
251,5Q
252,5Z
253,4E
254,2W
255,11J
256,7A
257,3Y
258,11G
259,2S
260,5Q
261,2R
262,7M
263,11Y
264,9M
265,12G
266,9R
267,2F
268,7L
269,5Y
270,4V
271,10I
272,4X
273,2S
274,5D
275,10T
276,5L
277,7Y
278,1T
279,8J
280,10Y
281,7J
282,1W
283,9S
284,12W
285,11M
286,6B
287,1W
288,8T
289,9W
290,9C
291,5H
292,7M
293,7P
294,9P
295,9R
296,6O
297,2R
298,4F
299,1A
300,8U
301,3I
302,7J
303,9Y
304,9N
305,10Z
306,10S
307,9H
308,9M
309,6Z
310,10K
311,2Y
312,5X
313,6R
314,6W
315,9T
316,3Z
317,9C
318,11N
319,8V
320,1W
321,5Z
322,7C
323,4V
324,4X
325,3K
326,4M
327,4H
328,2X
329,4R
330,4L
331,5X
332,7N
333,10I
334,8Y
335,5K
336,2B
337,10Z
338,5O
339,8V
340,1Z
341,3Y
342,11I
343,2E
344,4I
345,10J
346,6E
347,12O
348,6G
349,12D
350,2X
351,3H
352,6B
353,12H
354,6B
355,3C
356,9P
357,5L
358,12O
359,6R
360,5G
361,2J
362,6C
363,6Y
364,7F
365,1O
366,5Z
367,7E
368,8I
369,12S
370,8G
371,1B
372,2C
373,11V
374,8B
375,12D
376,10B
377,10C
378,4E
379,7D
380,11W
381,8N
382,11J
383,6W
384,7W
385,1H
386,8W
387,6K
388,6P
389,5B
390,12N
391,8N
392,1C
393,12Z
394,4V
395,12Q
396,5S
397,3A
398,9J
399,7X
400,4D
401,10C
402,6Y
403,10Z
404,9E
405,11A
406,6A
407,5T
408,3M
409,7Y
410,3V
411,12Q
412,3Z
413,12C
414,9N
415,8I
416,2F
417,7V
418,12Z
419,8V
420,12Q
421,9Y
422,6W
423,8Q
424,3L
425,3E
426,11Z
427,8S
428,4N
429,1K
430,12G
431,7R
432,11N
433,2W
434,7P
435,12U
436,11E
437,1G
438,10V
439,12L
440,5T
441,12R
442,11D
443,3B
444,11S
445,2U
446,8O
447,10X
448,3L
449,11R
450,8P
451,10E
452,1I
453,8Z
454,12P
455,7K
456,2Y
457,8G
458,1F
459,2Y
460,10U
461,4B
462,8Q
463,4Q
464,12R
465,2L
466,7F
467,7V
468,3S
469,3R
470,5E
471,8V
472,11R
473,11V
474,8I
475,3W
476,7C
477,10H
478,12F
479,12Q
480,6T
481,7B
482,1W
483,7U
484,5U
485,11M
486,3X
487,2X
488,8H
489,4Z
490,4R
491,5L
492,5X
493,7J
494,9J
495,4J
496,4M
497,5W
498,7U
499,11Q
500,4R
501,4N
502,4U
503,1R
504,4V
505,4U
506,3F
507,8Y
508,5D
509,5T
510,2K
511,5K
512,9H
513,6L
514,5Y
515,1E
516,9D
517,10W
518,8K
519,3S
520,5G
521,2C
522,8I
523,9Z
524,12M
525,7O
526,1G
527,12W
528,1V
529,11G
530,8F
531,9L
532,7X
533,4U
534,1M
535,10V
536,2X
537,4U
538,3P
539,11D
540,11R
541,1U
542,7U
543,8K
544,10E
545,1B
546,11W
547,8M
548,6E
549,4X
550,7D
551,6N
552,7N
553,8H
554,5X
555,4F
556,4H
557,5C
558,9W
559,9K
560,10K
561,8R
562,8L
563,10Q
564,5L
565,7H
566,10L
567,1A
568,7W
569,7Z
570,3V
571,9B
572,3J
573,12K
574,8H
575,7O
576,3G
577,4J
578,5R
579,5A
580,3A
581,4D
582,3L
583,5Q
584,3H
585,8D
586,9E
587,6Q
588,3E
589,7K
590,2Z
591,8H
592,6E
593,7B
594,10X
595,10G
596,5U
597,10Q
598,6A
599,10H
600,12U
601,12W
602,1F
603,11J
604,7A
605,7Y
606,3W
607,5I
608,10M
609,7U
610,4X
611,2W
612,2W
613,5V
614,2H
615,10R
616,12X
617,12Z
618,4G
619,8B
620,4E
621,10S
622,10C
623,4I
624,10S
625,1B
626,2E
627,9Z
628,11K
629,3V
630,4K
631,12Y
632,4O
633,9O
634,8F
635,5G
636,8K
637,5E
638,1Q
639,4I
640,6E
641,12M
642,10G
643,12G
644,9I
645,7J
646,1E
647,2F
648,9A
649,6R
650,9Y
651,2N
652,6F
653,5I
654,7Z
655,4A
656,12J
657,10L
658,7V
659,4E
660,3G
661,11C
662,3I
663,6M
664,10R
665,9E
666,3U
667,2J
668,11V
669,9D
670,4R
671,1U
672,8F
673,2G
674,10Q
675,4H
676,6M
677,3W
678,9C
679,8C
680,8K
681,6N
682,3G
683,12T
684,12E
685,7E
686,9H
687,11I
688,5Z
689,9Z
690,3B
691,7N
692,6C
693,1T
694,7X
695,2P
696,11P
697,4B
698,5R
699,12W
700,9R
701,2I
702,7A
703,5O
704,3O
705,7K
706,5A
707,8D
708,7U
709,6K
710,9G
711,1O
712,8A
713,5V
714,7C
715,7S
716,9G
717,2U
718,10B
719,8X
720,8Q
721,1I
722,3O
723,5H
724,7R
725,3K
726,4B
727,1M
728,11W
729,3K
730,6M
731,6C
732,6S
733,6F
734,9C
735,11O
736,8X
737,10T
738,8K
739,11M
740,6X
741,11B
742,12W
743,10F
744,1B
745,4A
746,11B
747,2D
748,11T
749,12D
750,8H
751,9L
752,6E
753,10L
754,1F
755,3V
756,9M
757,10F
758,10O
759,10S
760,8S
761,7L
762,7Z
763,3S
764,2B
765,11E
766,8C
767,8G
768,3Q
769,4L
770,10E
771,1A
772,10J
773,4L
774,7D
775,2C
776,6V
777,6Q
778,1Q
779,9H
780,9W
781,10T
782,11I
783,4U
784,8I
785,9J
786,4A
787,6E
788,4O
789,2A
790,4H
791,6Q
792,12T
793,10A
794,3A
795,1Z
796,5V
797,9K
798,1G
799,8A
800,5O
801,8L
802,8R
803,10I
804,7S
805,7K
806,10W
807,11U
808,10J
809,3P
810,4V
811,9L
812,8L
813,11H
814,6R
815,6L
816,2M
817,6F
818,4N
819,11I
820,8Z
821,7O
822,4C
823,3H
824,6P
825,8P
826,6R
827,10S
828,6I
829,5C
830,7Z
831,10W
832,5H
833,11T
834,8D
835,1B
836,3B
837,9S
838,6R
839,8B
840,4I
841,10Y
842,8N
843,5Z
844,1G
845,7X
846,8N
847,6R
848,12H
849,12L
850,12Z
851,3F
852,11M
853,4D
854,3L
855,11X
856,1P
857,12J
858,6R
859,1F
860,9W
861,11T
862,4P
863,7V
864,2H
865,2Z
866,3Q
867,3U
868,10U
869,2Q
870,12Z
871,7Y
872,6P
873,6U
874,11Q
875,6O
876,8D
877,12Y
878,5F
879,4Q
880,4Y
881,12M
882,12N
883,9T
884,2B
885,8Y
886,7N
887,4H
888,10W
889,4H
890,4K
891,12B
892,6P
893,7T
894,3N
895,3J
896,2O
897,5J
898,9O
899,1G
900,3W
901,8K
902,7H
903,5O
904,9Q
905,4P
906,8B
907,9P
908,11M
909,11L
910,10U
911,12Y
912,10P
913,2Y
914,9G
915,11O
916,11D
917,8U
918,11L
919,5C
920,6G
921,12V
922,12Y
923,8N
924,12A
925,2P
926,2R
927,11A
928,1W
929,12Q
930,12O
931,12E
932,2H
933,12O
934,10I
935,11W
936,5W
937,6D
938,7L
939,12V
940,7E
941,4E
942,4E
943,8B
944,8K
945,5R
946,8J
947,4G
948,7C
949,3N
950,6N
951,4J
952,12S
953,2R
954,5O
955,5K
956,3H
957,5W
958,1Y
959,5J
960,12H
961,3Z
962,11J
963,11G
964,9L
965,8T
966,9Q
967,4P
968,10F
969,1Q
970,10D
971,11Z
972,4U
973,12M
974,10F
975,11B
976,7Y
977,1R
978,9T
979,6Q
980,7Z
981,11H
982,7H
983,3O
984,6M
985,12S
986,9C
987,10I
988,9S
989,9J
990,5D
991,10U
992,10J
993,1B
994,4L
995,2L
996,9L
997,6K
998,11M
999,5S
1000,12G
1001,11K
1002,5G
1003,3I
1004,6J
1005,5A
1006,9O
1007,8B
1008,1L
1009,6W
1010,12X
1011,3G
1012,5J
1013,5Y
1014,1A
1015,8B
1016,4A
1017,2A
1018,2D
1019,11W
1020,9P
1021,5H
1022,10U
1023,1J
1024,3Q
1025,10J
1026,7Q
1027,5Q
1028,1Z
1029,1F
1030,5X
1031,3N
1032,9H
1033,5S
1034,9E
1035,12N
1036,11D
1037,2C
1038,2N
1039,3D
1040,9N
1041,10W
1042,12T
1043,8E
1044,3J
1045,10U
1046,9Z
1047,11M
1048,4T
1049,7T
1050,8R
1051,6T
1052,2E
1053,6D
1054,4F
1055,9X
1056,12Q
1057,8O
1058,7C
1059,11U
1060,2H
1061,10J
1062,2N
